maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,contrast,batch,n_paths,difference
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,3,512,-0.24110703712939227
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,4,512,-0.1869999318409261
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,5,512,-0.16889010330117232
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,6,512,-0.12010240700394803
63,0.9,theta_minus20,0,1,Adjusted_minus_Heston,7,512,-0.15917098004043895
63,0.9,theta_minus20,0,5,Heston_minus_BS,0,512,0.21817357621062744
63,0.9,theta_minus20,0,5,Heston_minus_BS,1,512,0.19062792406668033
63,0.9,theta_minus20,0,5,Heston_minus_BS,2,512,0.20148149383705977
63,0.9,theta_minus20,0,5,Heston_minus_BS,3,512,0.24976485253417066
63,0.9,theta_minus20,0,5,Heston_minus_BS,4,512,0.19726513084172853
63,0.9,theta_minus20,0,5,Heston_minus_BS,5,512,0.16912240590157218
63,0.9,theta_minus20,0,5,Heston_minus_BS,6,512,0.129333097861976
63,0.9,theta_minus20,0,5,Heston_minus_BS,7,512,0.18168637297614051
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,0,512,-0.26908390547727573
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,1,512,-0.21689686269033978
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,2,512,-0.23877910887773107
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,3,512,-0.3160806049332236
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,4,512,-0.22824508532533905
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,5,512,-0.19109166503284342
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,6,512,-0.11973712888401518
63,0.9,theta_minus20,0,5,Adjusted_minus_Heston,7,512,-0.21237055116222397
63,0.9,theta_minus20,5,1,Heston_minus_BS,0,512,0.1828034638659996
63,0.9,theta_minus20,5,1,Heston_minus_BS,1,512,0.16495776250133537
63,0.9,theta_minus20,5,1,Heston_minus_BS,2,512,0.17229118857994197
63,0.9,theta_minus20,5,1,Heston_minus_BS,3,512,0.208308041454699
63,0.9,theta_minus20,5,1,Heston_minus_BS,4,512,0.15717930061125257
63,0.9,theta_minus20,5,1,Heston_minus_BS,5,512,0.15385929818713956
63,0.9,theta_minus20,5,1,Heston_minus_BS,6,512,0.1142689496679536
63,0.9,theta_minus20,5,1,Heston_minus_BS,7,512,0.13996995547828606
63,0.9,theta_minus20,5,1,Adjusted_minus_Heston,0,512,-0.21199095330260442
63,0.9,theta_minus20,5,1,Adjusted_minus_Heston,1,512,-0.19172939342678763
