maturity_days,strike_over_forward,scenario,fee_bps,rebalance_days,strategy,coarse_mse,fine_mse,mse_refinement_shift,mse_refinement_se
63,1.0,kappa_minus20,0,5,Adjusted,1.85740880608496,1.8601745695186533,0.0027657634336931917,0.004780380732553496
63,1.0,kappa_minus20,5,1,BS,1.2446500711241508,1.2511928797048772,0.006542808580726439,0.002677207193953157
63,1.0,kappa_minus20,5,1,Heston,1.5845028873949083,1.5929660731044422,0.00846318570953357,0.002954998388455547
63,1.0,kappa_minus20,5,1,Adjusted,1.1814426563213554,1.1858307308276885,0.004388074506333366,0.0026619478072973392
63,1.0,kappa_minus20,5,5,BS,1.9052863902685102,1.9086614638260644,0.0033750735575541497,0.004622311666597925
63,1.0,kappa_minus20,5,5,Heston,2.2970563026748265,2.3007321776852625,0.0036758750104364003,0.0047009043570595405
63,1.0,kappa_minus20,5,5,Adjusted,1.8121041914966765,1.8144072765913277,0.0023030850946512563,0.004790583115335552
63,1.0,kappa_minus20,10,1,BS,1.2288315907388903,1.2363105103024123,0.0074789195635220265,0.00268860699094163
63,1.0,kappa_minus20,10,1,Heston,1.5458180969613893,1.5554735347456887,0.009655437784299675,0.002990221798066278
63,1.0,kappa_minus20,10,1,Adjusted,1.199417431196631,1.2046165187330062,0.005199087536375203,0.0026982004308668084
63,1.0,kappa_minus20,10,5,BS,1.8584828108882219,1.8614810130328658,0.002998202144644173,0.00464314198598499
63,1.0,kappa_minus20,10,5,Heston,2.2254440155414303,2.2288815298471176,0.003437514305686939,0.0047316155069788085
63,1.0,kappa_minus20,10,5,Adjusted,1.7928581385600748,1.7947317013207469,0.0018735627606720237,0.004837984559867101
63,1.0,kappa_plus20,0,1,BS,1.3280799192114279,1.3337919725429406,0.005712053331512562,0.0027687675057309694
63,1.0,kappa_plus20,0,1,Heston,1.6494602521964925,1.6566872228138727,0.007226970617380412,0.0029780467122675638
63,1.0,kappa_plus20,0,1,Adjusted,1.2343707381962608,1.23827466913034,0.0039039309340794083,0.002763735236317876
63,1.0,kappa_plus20,0,5,BS,1.9785782483766825,1.98236351619523,0.0037852678185474583,0.004641523330873751
63,1.0,kappa_plus20,0,5,Heston,2.340375422449504,2.344479766339666,0.004104343890162328,0.0046999342936455855
